Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonEC2,RunInstances,EUW2-C3DataTransfer-In-Bytes,,05/21/23 23:00:00,05/22/23 00:00:00,38256
AmazonEC2,RunInstances,EUW2-C3DataTransfer-Out-Bytes,,05/21/23 22:00:00,05/21/23 23:00:00,1035969
AmazonEC2,NatGateway,EUW2-NatGateway-Hours,,05/28/23 22:00:00,05/28/23 23:00:00,1
AmazonEC2,RunInstances,EUW2-DataTransfer-In-Bytes,,05/28/23 21:00:00,05/28/23 22:00:00,4068
AmazonEC2,RunInstances,EUW2-DataTransfer-In-Bytes,,05/22/23 21:00:00,05/22/23 22:00:00,6758
AmazonEC2,RunInstances,EUW2-C3DataTransfer-Out-Bytes,,05/21/23 23:00:00,05/22/23 00:00:00,13902
AmazonEC2,RunInstances,EUW2-DataTransfer-Out-Bytes,,05/28/23 17:00:00,05/28/23 18:00:00,360
AmazonEC2,RunInstances,EUW2-C3DataTransfer-In-Bytes,,05/21/23 22:00:00,05/21/23 23:00:00,169504060
AmazonEC2,RunInstances,EUW2-C3DataTransfer-In-Bytes,,05/28/23 21:00:00,05/28/23 22:00:00,15045943
AmazonEC2,RunInstances,EUW2-C3DataTransfer-In-Bytes,,05/22/23 21:00:00,05/22/23 22:00:00,14717829
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeP-IOPS.gp3,,05/22/23 22:00:00,05/22/23 23:00:00,0
AmazonEC2,RunInstances,EUW2-C3DataTransfer-Out-Bytes,,05/28/23 21:00:00,05/28/23 22:00:00,38359
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeUsage.gp3,,05/21/23 22:00:00,05/21/23 23:00:00,8589934592
AmazonEC2,EBS:Gp3-IO-Read,EUW2-EBS:VolumeIOUsage.gp3,,05/26/23 22:00:00,05/26/23 23:00:00,6857
AmazonEC2,RunInstances,EUW2-C3DataTransfer-Out-Bytes,,05/22/23 21:00:00,05/22/23 22:00:00,39775
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeP-Throughput.gp3,,05/22/23 00:00:00,05/22/23 01:00:00,0
AmazonEC2,RunInstances,EUW2-DataTransfer-In-Bytes,,05/21/23 22:00:00,05/21/23 23:00:00,28213
AmazonEC2,EBS:Gp3-IO-Write,EUW2-EBS:VolumeIOUsage.gp3,,05/28/23 22:00:00,05/28/23 23:00:00,633
AmazonEC2,EBS:Gp3-IO-Read,EUW2-EBS:VolumeIOUsage.gp3,,05/23/23 00:00:00,05/23/23 01:00:00,23
AmazonEC2,EBS:Gp3-IO-Read,EUW2-EBS:VolumeIOUsage.gp3,,05/22/23 01:00:00,05/22/23 02:00:00,0
AmazonEC2,PublicIP-In,EUW2-USE1-AWS-In-Bytes,,05/28/23 15:00:00,05/28/23 16:00:00,140
AmazonEC2,PublicIP-In,EUW2-DataTransfer-Regional-Bytes,,05/26/23 21:00:00,05/26/23 22:00:00,5928
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeUsage.gp3,,05/28/23 21:00:00,05/28/23 22:00:00,2479150567
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeUsage.gp3,,05/22/23 21:00:00,05/22/23 22:00:00,8589934592
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeP-IOPS.gp3,,05/21/23 23:00:00,05/22/23 00:00:00,0
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeP-Throughput.gp3,,05/21/23 22:00:00,05/21/23 23:00:00,0
AmazonEC2,AssociateAddressVPC,EUW2-ElasticIP:IdleAddress,,05/29/23 02:00:00,05/29/23 03:00:00,2
AmazonEC2,EBS:Gp3-IO-Read,EUW2-EBS:VolumeIOUsage.gp3,,05/21/23 21:00:00,05/21/23 22:00:00,6527
AmazonEC2,RunInstances,EUW2-DataTransfer-In-Bytes,,05/22/23 22:00:00,05/22/23 23:00:00,142329
AmazonEC2,PublicIP-In,EUW2-USE1-AWS-In-Bytes,,05/28/23 18:00:00,05/28/23 19:00:00,168
AmazonEC2,RunInstances,EUW2-DataTransfer-In-Bytes,,05/21/23 23:00:00,05/22/23 00:00:00,2594161
AmazonEC2,RunInstances,EUW2-C3DataTransfer-Out-Bytes,,05/22/23 00:00:00,05/22/23 01:00:00,3748
AmazonEC2,PublicIP-In,EUW2-USE1-AWS-In-Bytes,,05/28/23 19:00:00,05/28/23 20:00:00,112
AmazonEC2,PublicIP-In,EUW2-DataTransfer-Regional-Bytes,,05/28/23 22:00:00,05/28/23 23:00:00,3952
AmazonEC2,AssociateAddressVPC,EUW2-ElasticIP:IdleAddress,,05/29/23 06:00:00,05/29/23 07:00:00,2
AmazonEC2,RunInstances,EUW2-DataTransfer-In-Bytes,,05/28/23 22:00:00,05/28/23 23:00:00,20522
AmazonEC2,RunInstances,EUW2-DataTransfer-In-Bytes,,05/22/23 00:00:00,05/22/23 01:00:00,41896
AmazonEC2,RunInstances,EUW2-DataTransfer-Out-Bytes,,05/23/23 00:00:00,05/23/23 01:00:00,178978
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeP-Throughput.gp3,,05/22/23 23:00:00,05/23/23 00:00:00,0
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeP-Throughput.gp3,,05/28/23 21:00:00,05/28/23 22:00:00,0
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeP-Throughput.gp3,,05/22/23 21:00:00,05/22/23 22:00:00,0
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeP-IOPS.gp3,,05/28/23 21:00:00,05/28/23 22:00:00,0
AmazonEC2,NatGateway,EUW2-NatGateway-Hours,,05/28/23 15:00:00,05/28/23 16:00:00,1
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeP-IOPS.gp3,,05/22/23 21:00:00,05/22/23 22:00:00,0
AmazonEC2,RunInstances,EUW2-DataTransfer-Out-Bytes,,05/28/23 16:00:00,05/28/23 17:00:00,480
AmazonEC2,RunInstances,EUW2-C3DataTransfer-In-Bytes,,05/22/23 00:00:00,05/22/23 01:00:00,7328
AmazonEC2,NatGateway,EUW2-NatGateway-Hours,,05/28/23 19:00:00,05/28/23 20:00:00,1
AmazonEC2,EBS:Gp3-IO-Write,EUW2-EBS:VolumeIOUsage.gp3,,05/21/23 23:00:00,05/22/23 00:00:00,1666
AmazonEC2,RunInstances,EUW2-DataTransfer-Out-Bytes,,05/26/23 21:00:00,05/26/23 22:00:00,20610
AmazonEC2,NatGateway,EUW2-NatGateway-Hours,,05/28/23 18:00:00,05/28/23 19:00:00,1
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeP-IOPS.gp3,,05/21/23 22:00:00,05/21/23 23:00:00,0
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeUsage.gp3,,05/22/23 22:00:00,05/22/23 23:00:00,8589934592
AmazonEC2,PublicIP-In,EUW2-USE1-AWS-In-Bytes,,05/28/23 22:00:00,05/28/23 23:00:00,28
AmazonEC2,PublicIP-In,EUW2-DataTransfer-Regional-Bytes,,05/28/23 19:00:00,05/28/23 20:00:00,7068
AmazonEC2,EBS:Gp3-IO-Write,EUW2-EBS:VolumeIOUsage.gp3,,05/22/23 00:00:00,05/22/23 01:00:00,1500
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeP-IOPS.gp3,,05/22/23 00:00:00,05/22/23 01:00:00,0
AmazonEC2,PublicIP-In,EUW2-CNW1-AWS-In-Bytes,,05/28/23 19:00:00,05/28/23 20:00:00,40
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeUsage.gp3,,05/22/23 00:00:00,05/22/23 01:00:00,8589934592
AmazonEC2,EBS:Gp3-IO-Write,EUW2-EBS:VolumeIOUsage.gp3,,05/22/23 22:00:00,05/22/23 23:00:00,1699
AmazonEC2,NatGateway,EUW2-NatGateway-Hours,,05/28/23 16:00:00,05/28/23 17:00:00,1
AmazonEC2,RunInstances,EUW2-BoxUsage:t2.micro,,05/22/23 22:00:00,05/22/23 23:00:00,1
AmazonEC2,RunInstances,EUW2-C3DataTransfer-Out-Bytes,,05/22/23 23:00:00,05/23/23 00:00:00,5822
AmazonEC2,RunInstances,EUW2-C3DataTransfer-In-Bytes,,05/28/23 19:00:00,05/28/23 20:00:00,10463941
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeP-IOPS.gp3,,05/26/23 23:00:00,05/27/23 00:00:00,0
AmazonEC2,AssociateAddressVPC,EUW2-ElasticIP:IdleAddress,,05/29/23 05:00:00,05/29/23 06:00:00,2
AmazonEC2,AssociateAddressVPC,EUW2-ElasticIP:IdleAddress,,05/28/23 21:00:00,05/28/23 22:00:00,1
AmazonEC2,RunInstances,EUW2-DataTransfer-Out-Bytes,,05/22/23 01:00:00,05/22/23 02:00:00,34965
AmazonEC2,NatGateway,EUW2-NatGateway-Bytes,,05/28/23 14:00:00,05/28/23 15:00:00,200
AmazonEC2,EBS:Gp3-IO-Write,EUW2-EBS:VolumeIOUsage.gp3,,05/21/23 22:00:00,05/21/23 23:00:00,6522
AmazonEC2,NatGateway,EUW2-NatGateway-Hours,,05/28/23 14:00:00,05/28/23 15:00:00,1
AmazonEC2,RunInstances,EUW2-DataTransfer-In-Bytes,,05/22/23 01:00:00,05/22/23 02:00:00,35868
AmazonEC2,RunInstances,EUW2-DataTransfer-Out-Bytes,,05/26/23 22:00:00,05/26/23 23:00:00,180661
AmazonEC2,RunInstances,EUW2-BoxUsage:t2.micro,,05/21/23 22:00:00,05/21/23 23:00:00,1
